section,D,s,T,M,A,D/t,I,r,Z,S,J,C,As,"Nominal Length Per Tonne"
"88,9x5",88.9,,5,10.3,13.2,17.8,116,2.97,26.2,35.2,233,52.4,0.279,96.7
"88,9x6",88.9,,6,12.3,15.6,14.8,135,2.94,30.4,41.3,270,60.8,0.279,81.5
"88,9x6,3",88.9,,6.3,12.8,16.3,14.1,140,2.93,31.5,43.1,280,63,0.279,77.9
"101,6x3,2",101.6,,3.2,7.77,9.89,31.7,120,3.48,23.6,31,240,47.2,0.319,129
"101,6x4",101.6,,4,9.63,12.3,25.4,146,3.45,28.8,38.1,293,57.6,0.319,104
"101,6x5",101.6,,5,11.9,15.2,20.3,177,3.42,34.9,46.7,355,69.8,0.319,84
"101,6x6",101.6,,6,14.1,18,16.9,207,3.39,40.7,54.9,413,81.4,0.319,70.7
"101,6x6,3",101.6,,6.3,14.8,18.9,16.1,215,3.38,42.3,57.3,430,84.6,0.319,67.5
"101,6x8",101.6,,8,18.5,23.5,12.7,260,3.32,51.1,70.3,519,102,0.319,54.2
"101,6x10",101.6,,10,22.6,28.8,10.2,305,3.26,60.1,84.2,611,120,0.319,44.3
"114,3x3",114.3,,3,8.23,10.5,38.1,163,3.94,28.4,37.2,325,56.8,0.359,121
"114,3x3,2",114.3,,3.2,8.77,11.2,35.7,172,3.93,30.2,39.5,345,60.4,0.359,114
"114,3x3,6",114.3,,3.6,9.83,12.5,31.8,192,3.92,33.6,44.1,384,67.2,0.359,102
"114,3x4",114.3,,4,10.9,13.9,28.6,211,3.9,36.9,48.7,422,73.8,0.359,91.9
"114,3x5",114.3,,5,13.5,17.2,22.9,257,3.87,45,59.8,514,90,0.359,74.2
"114,3x6",114.3,,6,16,20.4,19.1,300,3.83,52.5,70.4,600,105,0.359,62.4
"114,3x6,3",114.3,,6.3,16.8,21.4,18.1,313,3.82,54.7,73.6,625,109,0.359,59.6
"114,3x8",114.3,,8,21,26.7,14.3,379,3.77,66.4,90.6,759,133,0.359,47.7
"114,3x10",114.3,,10,25.7,32.8,11.4,450,3.7,78.7,109,899,157,0.359,38.9
"139,7x3,2",139.7,,3.2,10.8,13.7,43.7,320,4.83,45.8,59.6,640,91.6,0.439,92.8
"139,7x3,6",139.7,,3.6,12.1,15.4,38.8,357,4.81,51.1,66.7,713,102,0.439,82.8
"139,7x4",139.7,,4,13.4,17.1,34.9,393,4.8,56.2,73.7,786,112,0.439,74.7
"139,7x5",139.7,,5,16.6,21.2,27.9,481,4.77,68.8,90.8,961,138,0.439,60.2
"139,7x6",139.7,,6,19.8,25.2,23.3,564,4.73,80.8,107,1129,162,0.439,50.5
"139,7x6,3",139.7,,6.3,20.7,26.4,22.2,589,4.72,84.3,112,1177,169,0.439,48.2
"139,7x8",139.7,,8,26,33.1,17.5,720,4.66,103,139,1441,206,0.439,38.5
"139,7x10",139.7,,10,32,40.7,14,862,4.6,123,169,1724,246,0.439,31.3
"139,7x12",139.7,,12,37.8,48.1,11.6,990,4.53,142,196,1980,284,0.439,26.5
